token,exchange,symbol
835893,BSE_FO,APLAPOLLO
832610,BSE_FO,APLAPOLLO
836326,BSE_FO,APLAPOLLO
839540,BSE_FO,APLAPOLLO
860937,BSE_FO,APLAPOLLO
860615,BSE_FO,APLAPOLLO
860087,BSE_FO,APLAPOLLO
859847,BSE_FO,APLAPOLLO
860120,BSE_FO,APLAPOLLO
859884,BSE_FO,APLAPOLLO
860151,BSE_FO,APLAPOLLO
859954,BSE_FO,APLAPOLLO
858176,BSE_FO,APLAPOLLO
858189,BSE_FO,APLAPOLLO
848534,BSE_FO,APLAPOLLO
847844,BSE_FO,APLAPOLLO
846515,BSE_FO,APLAPOLLO
846292,BSE_FO,APLAPOLLO
840898,BSE_FO,APLAPOLLO
840416,BSE_FO,APLAPOLLO
840502,BSE_FO,APLAPOLLO
836576,BSE_FO,APLAPOLLO
836999,BSE_FO,APLAPOLLO
833783,BSE_FO,APLAPOLLO
837438,BSE_FO,APLAPOLLO
834857,BSE_FO,APLAPOLLO
831633,BSE_FO,APLAPOLLO
835310,BSE_FO,APLAPOLLO
832075,BSE_FO,APLAPOLLO
835772,BSE_FO,APLAPOLLO
836990,BSE_FO,APLAPOLLO
833770,BSE_FO,APLAPOLLO
837429,BSE_FO,APLAPOLLO
834210,BSE_FO,APLAPOLLO
837855,BSE_FO,APLAPOLLO
839612,BSE_FO,APLAPOLLO
868411,BSE_FO,ABB
866800,BSE_FO,ABB
868801,BSE_FO,ABB
867210,BSE_FO,ABB
869219,BSE_FO,ABB
867592,BSE_FO,ABB
